"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","level"
"1.3.2.10.16","3b10p","0387","","","5"
"1.3.2.10.17","3b10q","0388","","","5"
"1.3.2.10.18","3b10r","0389","","","5"
"1.3.2.10.19","3b10s","0390","","","5"
"1.3.2.10.20","3b10t","0391","","","5"
"1.3.2.10.21","3b10u","0392","","","5"
"1.3.3","3c","0393","","","3"
"1.3.4","3d","0394","","","3"
"1.4","4","0395","","","2"
"1.4.1","4a","0396","","","3"
"1.4.1.1","4a1","0397","","","4"
"1.4.1.2","4a2","0398","","","4"
"1.4.1.3","4a3","0399","","","4"
"1.4.2","4b","0400","","","3"
"1.4.2.1","4b1","0401","","","4"
"1.4.2.2","4b2","0402","","","4"
"1.4.3","4c","0403","","","3"
"1.4.3.1","4c1","0404","","","4"
"1.4.3.1.1","4c1a","0405","","","5"
"1.4.3.1.2","4c1b","0406","","","5"
"1.4.3.1.3","4c1c","0407","","","5"
"1.4.3.1.4","4c1d","0408","","","5"
"1.4.3.1.5","4c1e","0409","","","5"
"1.4.3.1.6","4c1f","0410","","","5"
"1.4.3.1.7","4c1g","0411","","","5"
"1.4.3.1.8","4c1h","0412","","","5"
"1.4.3.1.9","4c1i","0413","","","5"
"1.4.3.2","4c2","0414","","","4"
"1.4.4","4d","0415","","","3"
"1.4.4.1","4d1","0416","","","4"
"1.4.5","4e","0417","","","3"
"1.4.5.1","4e1","0418","","","4"
"1.4.5.2","4e2","0419","","","4"
"1.4.5.3","4e3","0420","","","4"
"1.4.5.3.1","4e3a","0421","","","5"
"1.4.6","4f","0422","","","3"
"1.4.6.1","4f1","0423","","","4"
"1.4.6.2","4f2","0424","","","4"
"1.4.6.3","4f3","0425","","","4"
"1.4.6.4","4f4","0426","","","4"
"1.4.6.5","4f5","0427","","","4"
"1.4.6.5.1","4f5a","0428","","","5"
"1.4.6.6","4f6","0429","","","4"
"1.4.6.7","4f7","0430","","","4"
"1.4.6.8","4f8","0431","","","4"
"1.4.6.9","4f9","0432","","","4"
"1.4.6.10","4f10","0433","","","4"
"1.4.7","4g","0434","","","3"
"1.4.7.1","4g1","0435","","","4"
"1.4.7.2","4g2","0436","","","4"
"1.4.7.3","4g3","0437","","","4"
"1.4.7.4","4g4","0438","","","4"
"1.4.7.5","4g5","0439","","","4"
"1.4.7.6","4g6","0440","","","4"
"1.4.7.7","4g7","0441","","","4"
"1.4.7.8","4g8","0442","","","4"
"1.4.7.8.1","4g8a","0443","","","5"
"1.4.7.9","4g9","0444","","","4"
"1.4.7.10","4g10","0445","","","4"
"1.5","5","0446","","","2"
"1.5.1","5a","0447","","","3"
"1.5.1.1","5a1","0448","","","4"
"1.5.1.2","5a2","0449","","","4"
"1.5.1.2.1","5a2a","0450","","","5"
"1.5.1.2.2","5a2b","0451","","","5"
"1.5.1.2.3","5a2c","0452","","","5"
"1.5.1.2.4","5a2d","0453","","","5"
"1.5.1.2.5","5a2e","0454","","","5"
"1.5.1.3","5a3","0455","","","4"
"1.5.1.4","5a4","0456","","","4"
"1.6","6","0457","","","2"
"1.6.1","6a","0458","","","3"
"1.6.2","6b","0459","","","3"
"1.6.3","6c","0460","","","3"
"1.6.4","6d","0461","","","3"
"1.6.5","6e","0462","","","3"
"1.7","7","0463","","","2"
"1.7.1","7a","0464","","","3"
"1.7.1.1","7a1","0465","","","4"
"1.7.2","7b","0466","","","3"
"1.7.2.1","7b1","0467","","","4"
"1.7.2.2","7b2","0468","","","4"
"1.7.2.3","7b3","0469","","","4"
"1.8","8","0470","","","2"
"1.8.1","8a","0471","","","3"
"1.8.2","8b","0472","","","3"
"1.8.3","8c","0473","","","3"
"1.8.4","8d","0474","","","3"
"1.8.5","8e","0475","","","3"
"1.8.6","8f","0476","","","3"
"1.8.7","8g","0477","","","3"
"1.8.8","8h","0478","","","3"
"1.8.9","8i","0479","","","3"
"1.8.10","8j","0480","","","3"
"1.8.11","8k","0481","","","3"
"1.8.12","8l","0482","","","3"
"1.8.13","8m","0483","","","3"
"1.8.14","8n","0484","","","3"
"1.8.15","8o","0485","","","3"
"1.8.16","8p","0486","","","3"
"1.8.17","8q","0487","","","3"
"1.8.18","8r","0488","","","3"
"1.8.19","8s","0489","","","3"
"1.8.20","8t","0490","","","3"
"1.8.21","8u","0491","","","3"
"1.8.22","8v","0492","","","3"
"1.8.23","8w","0493","","","3"
"1.8.24","8x","0494","","","3"
"1.8.25","8y","0495","","","3"
"1.8.26","8z","0496","","","3"
"1.8.27","8aa","0497","","","3"
"1.8.28","8ab","0498","","","3"
