"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated"
"1","","","",""
"1.3.2.4.3.1.5","3b4c1e","0262","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.3.1.5.1","3b4c1e1","0750","BKN","Thu 25 May 2006 07:21:27 GMT+00:00"
"1.3.2.4.3.1.6","3b4c1f","0264","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.3.1.7","3b4c1g","0698","BKN","Thu 18 May 2006 07:30:33 GMT+00:00"
"1.3.2.4.3.1.7.1","3b4c1g1","0699","BKN","Thu 18 May 2006 07:30:42 GMT+00:00"
"1.3.2.4.3.1.8","3b4c1h","0700","BKN","Thu 7 Dec 2006 01:22:23 GMT+00:00"
"1.3.2.4.3.1.8.1","3b4c1h1","0701","BKN","Thu 18 May 2006 07:31:03 GMT+00:00"
"1.3.2.4.3.1.9","3b4c1i","0271","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.3.1.9.1","3b4c1i1","0702","BKN","Thu 18 May 2006 07:33:53 GMT+00:00"
"1.3.2.4.3.1.10","3b4c1j","0705","BKN","Thu 18 May 2006 07:34:00 GMT+00:00"
"1.3.2.4.3.1.11","3b4c1k","0765","BKN","Thu 7 Dec 2006 01:22:15 GMT+00:00"
"1.3.2.4.3.1.11.1","3b4c1k1","0766","BKN","Thu 7 Dec 2006 01:22:30 GMT+00:00"
"1.3.2.4.3.1.12","3b4c1l","0767","BKN","Thu 8 Jun 2006 01:13:40 GMT+00:00"
"1.3.2.4.3.1.13","3b4c1m","0820","BKN","Thu 7 Dec 2006 01:23:08 GMT+00:00"
"1.3.2.4.3.1.13.1","3b4c1m1","0821","BKN","Thu 7 Dec 2006 01:23:26 GMT+00:00"
"1.3.2.4.4","3b4d","043","BKN","Thu 11 May 2006 00:02:38 GMT+00:00"
"1.3.2.4.4.1","3b4d1","0106","BKN","Wed 10 May 2006 07:52:18 GMT+00:00"
"1.3.2.4.4.1.1","3b4d1a","0107","BKN","Thu 7 Dec 2006 01:28:24 GMT+00:00"
